Search Company,Closest Company 1,Closest Company 2,Closest Company 3,Closest Company 4,Closest Company 5
e.on,Enbridge,Epiroc,Magna International,Philip Morris International,Archer Daniels Midland
ms&ad insurance,Sumitomo,East Japan Railway,NEXON,AGL Energy,Mitsubishi Estate
huaxia bank,NAB - National Australia Bank,VTB Bank,Bank Rakyat Indonesia (BRI),ANZ,Royal Bank of Scotland
bristol-myers squibb,Heineken,ITC,Qurate Retail Group,SGS,Kraft Heinz Company
china resources land,Uniper,China Vanke,Daqin Railway,Signature Bank,Sunac China Holdings
air liquide,Industrial Alliance Insurance,Hua Nan Financial,Safran,Conagra Brands,Northrop Grumman
edf,VF,AIRBUS,Rosneft,Fiat Chrysler Automobiles,Rio Tinto
danaher,Top Frontier Investment Holdings,PPG,Hanwha,T&D Holdings,Celgene
legal & general group,Legal & General Group,Ameriprise Financial,Daito Trust Construction,Prudential,Yara International
exor,Valero Energy,VF,DowDuPont,Fiat Chrysler Automobiles,Phillips 66
sun life financial,Sun Life Financial,LG,Travelers,Medtronic,Bank of Nagoya
bt group,BT Group,LG,CRH,Sun Life Financial,CRRC
kb financial group,Barclays,Deutsche Bank,Standard Chartered,ING Group,DBS
northrop grumman,Qingdao Haier,Safran,Brambles,Deere & Company,Conagra Brands
seven & i holdings,Bridgestone,Japan Tobacco,Kansai Electric Power,MS&AD Insurance,Astellas Pharma
hp,IBM,Iida Group Holdings,Thermo Fisher Scientific,Dell Technologies,Paccar
nike,Axis Bank,Exelon,Sanofi,Wanhua Chemical Group,Starbucks
shinhan financial group,Itaú Unibanco Holding,YPF,Banco do Brasil,Bank Rakyat Indonesia (BRI),Bank Mandiri
abb,General Dynamics,Danone,Best Buy,AstraZeneca,Imperial Brands
diageo,Diageo,Isuzu Motors,Jiangsu Zhongnan Construction Group,BCE,Bangkok Bank
bank of beijing,DBS,Industrial Bank,Shanghai Pudong Development,Discovery,Huaxia Bank
cnp assurances,CNP Assurances,United Continental Holdings,Swiss Re,Munich Re,Zurich Insurance Group
japan tobacco,Central Japan Railway,Braskem,Bridgestone,Beijing Capital Development,Kirin Holdings
oversea-chinese banking,Woori Financial Group,ICICI Bank,Maybank,First Abu Dhabi Bank,China Grand Automotive Services
indian oil,Indian Oil,Anheuser-Busch InBev,Equinor,Munich Re,América Móvil
inditex,Suncor Energy,LafargeHolcim,Philips,Sanofi,Top Frontier Investment Holdings
dominion resources,Qurate Retail Group,Freeport-McMoRan,Partners Group Holding,Cosco Shipping,Kering
sumitomo,MS&AD Insurance,Spotify Technology,NEXON,AGL Energy,Mitsubishi Estate
occidental petroleum,Merck,Inner Mongolia Yili,Southern Company,Femsa,International Paper
reckitt benckiser group,PKO Bank Polski,Eisai,BOK Financial,Amgen,Arrow Electronics
crrc,CRRC,Aegon,CRH,HNA Technology,Compal Electronics
cathay financial,China Merchants Bank,China Minsheng Banking,Scor,Raymond James Financial,CITIC
kroger,Phillips 66,Lowe's,DowDuPont,ExxonMobil,Woolworths
baidu,Thomson Reuters,Fortive,Xiaomi,Siam Cement,Zions Bancorp
panasonic,Hyundai Mobis,Toshiba,Gree Electric Appliances,Mitsubishi Electric,Aisin Seiki
johnson controls international,Johnson Controls International,RTL Group,American Express,Sumitomo Chemical,Allstate
ecopetrol,Coloplast,Canadian Natural Resources,China Southern Airlines,Ryanair Holdings,Qatar Islamic Bank
canon,Gree Electric Appliances,Hyundai Mobis,American Water Works,Sumitomo Electric,Aisin Seiki
royal ahold delhaize n.v.,Naturgy Energy Group,Shengjing Bank,VINCI,Petrobras,Union Pacific
jardine matheson,Bharat Petroleum,Atlas Copco,China Evergrande Group,Samsung Life Insurance,Hengli Petrochemical
raytheon,AutoZone,Southern Company,Femsa,Inner Mongolia Yili,International Paper
sunac china holdings,Orix,Mahindra & Mahindra,Mizuho Financial,Showa Denko,Fortum
united continental holdings,United Continental Holdings,CNP Assurances,American Airlines Group,International Airlines,Munich Re
united overseas bank,PG&E,Maybank,Woori Financial Group,China Grand Automotive Services,Oversea-Chinese Banking
nippon steel,"Burlington Stores,",JFE Holdings,Proximus,Klepierre,Shin-Etsu Chemical
lyondellbasell industries,L'Oréal,Nike,Axis Bank,MGM Resorts,Eli Lilly
qualcomm,DGB Financial Group,TE Connectivity,Ferguson,ASML Holding,Stryker
safran,Brambles,Northrop Grumman,Qingdao Haier,Check Point Software,Air Liquide
carnival,Carnival,International Airlines,Capgemini,Diageo,Isuzu Motors
sk holdings,SK Innovation,Hon Hai Precision,SAIC Motor,Midea Group,LG Electronics
state street,Experian,Commerzbank,Northern Trust,Bank of New York Mellon,Bank of Montreal
orix,Sunac China Holdings,Fortum,Anhui Conch Cement,Mizuho Financial,Mahindra & Mahindra
celgene,PPG,Hanwha,JG Summit Holdings,Ametek,Rolls-Royce Holdings
american electric,T&D Holdings,Philips,PPG,Ingersoll Rand,Dexia
paypal,PayPal,Air France-KLM,Visa,Infosys,North Pacific Bank
eog resources,Inner Mongolia Yili,FMC,Merck,CBS,Kiyo Bank
greenland holdings group,Greenland Holdings Group,United Continental Holdings,International Airlines,Munich Re,Metro Group
